@lat	@lon	name	tourism	historic	amenity
41.2634794	-6.5280882	Mirador de la Ermita de Nuestra Señora del Castillo	viewpoint		
41.2695619	-8.0784605	Museu Municipal Amadeo de Souza-Cardoso	museum		
39.4578062	-8.6633137	Museu do Curtume	museum		
40.9317772	-7.6467647	Fonte Santa	viewpoint		
41.4400178	-7.2893213	Pelourinho de Lamas de Orelhão	attraction	pillory	
38.1193235	-8.5994864		viewpoint		
38.1193021	-8.5994805		viewpoint		
41.3824749	-8.2258757	Mosteiro de Santa Maria de Pombeiro		monument	
41.1554710	-7.6649328		viewpoint		
41.1512169	-7.6828604	Douro	viewpoint		
41.1521491	-7.6810457	Varanda para o Douro	viewpoint		
41.1542309	-7.6752030	Vista sobre o Douro	viewpoint		
41.1516570	-7.6824090	Vista para o Douro	viewpoint		
37.2122950	-6.9403685	Monumento a la Fe Descubridora		monument	
37.0889802	-8.4156127		viewpoint		
42.0786916	-8.4818585	Casa do Curro	museum		
41.5949652	-7.3890242	Miradouro de Argeriz	viewpoint		
41.5729399	-8.2015298	Museu do Ouro de Travassos	museum		
41.5518823	-8.4217980	Museu Nogueira da Silva	museum		
40.5599814	-7.2939585		viewpoint		
40.6578374	-8.4720898	Pelourinho de Serém	attraction	pillory	
40.2067280	-8.4243915		viewpoint		
40.1883193	-8.8537806	Miradouro Senhora dos Caminhos	viewpoint		
40.6782161	-8.5568191	Pelourinho de Angeja	attraction	pillory	
37.3195359	-8.5597029		viewpoint		
39.4578280	-8.4324799	Centro Cultural de Vila Nova da Barquinha	museum		library
41.3844449	-8.2881725	Miradouro de São Bento das Peras	viewpoint		
40.3725982	-8.3653634		viewpoint		
40.1757445	-8.6835567		viewpoint		
40.2110172	-8.3727519	Karri Knight	attraction		
40.2109576	-8.3728299		attraction		
40.4084804	-7.5809263		viewpoint		
41.5546929	-8.3773904		viewpoint		
41.5552508	-8.3782359		viewpoint		
38.9317680	-9.3254997		viewpoint		
41.8880839	-8.8714390	Miradorio de San Francisco	viewpoint		
40.2055817	-8.6488254	Museu do Campo	museum		
40.5314378	-7.3312105	Miradouro Mocho Real	viewpoint		
40.5448521	-7.3238993		viewpoint		
37.0868844	-8.2481332	Miradouro do Pau da Bandeira	viewpoint		
